input,word_1,word_2,word_3,word_4,pos_1,pos_2,pos_3,pos_4,def_1,def_2,def_3,def_4,sent_1,sent_2,sent_3,sent_4,ipa,pic,speech
pieuvre,"PIEUVRE,",,,,subst. fém.,,,,Mollusque céphalopode marin pourvu de huit bras ou tentacules munis de ventouses qui vit dans le creux des rochers près des côtes.,,,,"Le crabe se nourrit de charogne, la pieuvre se nourrit de crabes. La pieuvre arrête au passage un animal nageant, une loutre, un chien, un homme si elle peut, boit le sang, et laisse au fond de l'eau le corps mort (Hugo,Travaill. mer, 1866, p.384).",,,,\pjœvʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Octopus_macropus.jpg/190px-Octopus_macropus.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/f/fd/Fr-pieuvre.ogg/Fr-pieuvre.ogg.mp3
denrée,"DENRÉE,",,,,subst. fém.,,,,Marchandise.,,,,"La valeur se forme au moment où le travail n'apparaît plus que sous la forme d'une denrée (J. Vuillemin, Être et trav.,1949, p. 50):",,,,\dɑ̃.ʁe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/7/75/Fr-denr%C3%A9e.ogg/Fr-denr%C3%A9e.ogg.mp3
racaille,"RACAILLE,",,,,subst. fém.,,,,"Partie du peuple la plus pauvre, considérée comme la plus méprisable.",,,,"C'est le bouleversement de tout; la racaille va maintenant à la cour... Les seigneurs sont confondus parmi les va-nu-pieds (Erckm.-Chatr., Hist. paysan, t. 1, 1870, p. 196).",,,,\ʁa.kaj\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/2a/LL-Q150_%28fra%29-LoquaxFR-racaille.wav/LL-Q150_%28fra%29-LoquaxFR-racaille.wav.mp3
bouffer,"BOUFFER,",,,,verbe.,,,,Enfler les joues.,,,,"1. « − Vous marcherez, ou j'y perdrai mon nom! » leur dit [aux gardes nationaux] le brave général Bravida; et tout bouffant de colère, il alla demander des explications à la mairie.
A. Daudet, Contes du lundi,1873, p. 79.",,,,\bu.fe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/4/43/LL-Q150_%28fra%29-Lyoko%C3%AF-bouffer.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-bouffer.wav.mp3
fuchsia,"FUCHSIA,",,,,subst. masc.,,,,"Plante ornementale (Œnothéracées), parfois arborescente, aux fleurs pendantes, solitaires ou en grappes, en forme de clochettes.",,,,"L'échevellement des fuchsias, des mille petites fleurs aux longs pistils, toutes semblables à de petits glands de passementerie rouge, accrochés à un arbuste (E. de Goncourt, Mais. artiste,1881, p. 381).",,,,\fy.ʃja\,//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Fuchsia_X_Hybrida2.jpg/220px-Fuchsia_X_Hybrida2.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/8/87/LL-Q150_%28fra%29-Pamputt-fuchsia.wav/LL-Q150_%28fra%29-Pamputt-fuchsia.wav.mp3
surgelé,"SURGELER,","Surgélateur,","Surgélation,",,verbe trans.,"subst. masc.,","subst. fém.,",,Congeler un produit alimentaire très rapidement et à basse température.,Appareil ou installation de surgélation.,Opération consistant à surgeler un produit alimentaire.,,"[Le] problème posé par la distance à partir des ports d'Europe par exemple, et (...) la nécessité de surgeler le poisson pour le ramener sur les lieux de vente (J.-M. Pérès, Vie océan, 1966, p. 173).","Les surgélateurs dont dispose l'artisan pâtissier, se présentent sous forme d'armoires divisées en compartiments (...). La surgélation se fait par air ventilé et permet de congeler très rapidement à cœur les produits à des températures de -40o(D. Chaboissier, Le Compagnon pâtissier, éd. J. Villette, t. 1, s.d., p. 79).","Méthode la plus récente, le traitement par congélation ultra-rapide ou surgélation peut s'effectuer de deux manières, soit à bord des navires de pêche, soit à terre (Boyer, Pêches mar., 1967, p. 115).",,\syʁ.ʒə.le\,,
butte,"BUTTE,",,,,subst. fém.,,,,Faible élévation de terrain naturelle ou artificielle.,,,,"Un pays clair, facile à comprendre : une butte, un vallon, une butte, un vallon (Renard, Journal,1906, p. 1068):",,,,\byt\,,
picoler,"PICOLER,","Picoleur, -euse,",,,verbe trans.,subst.,,,Boire.,"Celui, celle qui picole.",,,"Un curé qu'est-ce que ça picole?... De tout je l'espère! (Céline, Mort à crédit, 1936, p.526).","Picoleur? Il l'avait jamais été, et flambeur pas davantage (Simonin, Touchez pas au grisbi, 1953, p.177).",,,\pi.kɔ.le\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/2c/LL-Q150_%28fra%29-WikiLucas00-picoler.wav/LL-Q150_%28fra%29-WikiLucas00-picoler.wav.mp3
bosse,"BOSSE1,",,,,subst. fém.,,,,Protubérance naturelle.,,,,"1. Le questionneur avait une grande figure pâle, des yeux tristes. Ce devait être des yeux d'infirme; il claudiquait, et la pélerine qui lui tombait à mi-jambe paraissait cacher une bosse, une protubérance, quelque extraordinaire déformation.
Cocteau, Les Enfants terribles,1929, p. 13.",,,,\bɔs\,,//upload.wikimedia.org/wikipedia/commons/transcoded/3/38/Fr-bosse.ogg/Fr-bosse.ogg.mp3
zoner,"ZONE,","ZONE,","Zonaire,","Zonard, -arde,",subst. fém.,subst. fém.,adj.,"subst. masc. et adj.,","Espace en forme de ceinture ou de bande, délimité sur une surface sphérique.","Espace en forme de ceinture ou de bande, délimité sur une surface sphérique.",Qui présente des zones.,"Habitant de la zone, d'une zone.","Les « Cartes de l'Académie de Berlin » furent (...) dressées; elles inventoriaient la zone zodiacale, y situant environ 40 000 étoiles (Hist. gén. sc., t. 3, vol. 1, 1961, p. 134).","Les « Cartes de l'Académie de Berlin » furent (...) dressées; elles inventoriaient la zone zodiacale, y situant environ 40 000 étoiles (Hist. gén. sc., t. 3, vol. 1, 1961, p. 134).","Les géologues, depuis longtemps, s'accordent pour admettre la composition zonaire de notre planète (Teilhard de Ch., Phénom. hum., 1955, p. 200).","Des zonards en cuir noir (Actuel, nov. 1982, p. 185, col. 3).",\zo.ne\,,//upload.wikimedia.org/wikipedia/commons/transcoded/b/bd/LL-Q150_%28fra%29-Lyoko%C3%AF-zoner.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-zoner.wav.mp3
chatouiller,"CHATOUILLER,",,,,verbe trans.,,,,Exciter l'épiderme de quelqu'un par des attouchements réguliers provoquant facilement un rire convulsif.,,,,"1. ... il [Hassler] disait des mots drôles, et il le [Christophe] chatouillait pour le faire rire; et Christophe ne pouvait s'empêcher de rire au milieu de ses larmes.
R. Rolland, Jean-Christophe,L'Aube, 1904, p. 80.",,,,\ʃa.tu.je\,,//upload.wikimedia.org/wikipedia/commons/transcoded/5/5c/Fr-chatouiller.ogg/Fr-chatouiller.ogg.mp3
piocher,"PIOCHER,",,,,verbe trans.,,,,"Creuser, fouir, trancher, défoncer avec une pioche.",,,,"La matière qui «travaille» à l'intérieur de la cuve durcit, s'agglomère en gros blocs, et pour la sortir de la cuve on risque, en la piochant, de briser ces claies en bois (Quéret,Industr. gaz, 1923, p.149).",,,,\pjɔ.ʃe\,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Pickax_%28PSF%29.png/220px-Pickax_%28PSF%29.png,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e3/LL-Q150_%28fra%29-Lyoko%C3%AF-piocher.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-piocher.wav.mp3
ils,"IL1(S),","ELLE1(S),",,,"pron. pers., 3epers., masc.,","fém., formes atones",,,"Pronom personnel non-prédicatif de la troisième personne, il masculin, elle féminin pour le singulier, ils et elles pour le pluriel, de forme atone (appelée aussi enclitique ou non accentuée), toujours sujet; pour les autres fonctions, v. lui et le2.","Pronom personnel non-prédicatif de la troisième personne, il masculin, elle féminin pour le singulier, ils et elles pour le pluriel, de forme atone (appelée aussi enclitique ou non accentuée), toujours sujet; pour les autres fonctions, v. lui et le2.",,,"Puis elle regarda le grand patron. « Ce qu'il est bien, dit-elle, ce qu'il a l'air intelligent! » (Sartre, Nausée,1938, p. 119).","Puis elle regarda le grand patron. « Ce qu'il est bien, dit-elle, ce qu'il a l'air intelligent! » (Sartre, Nausée,1938, p. 119).",,,\il\,,//upload.wikimedia.org/wikipedia/commons/transcoded/3/32/Fr-ils.ogg/Fr-ils.ogg.mp3
écossais,"ÉCOSSAIS, AISE,",,,,adj. et subst.,,,,De l'Écosse.,,,,"Où (...) avez-vous vu (...) une Écossaise qui ne fût pas parente, au vingt-cinquième (...) degré, de la reine Marie? (Dumas père, Le Laird de Dumbiky,1844, II, 4, p. 39).",,,,\e.kɔ.sɛ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/1/1e/LL-Q150_%28fra%29-Pom445-%C3%A9cossais.wav/LL-Q150_%28fra%29-Pom445-%C3%A9cossais.wav.mp3
couronne,"COURONNE,",,,,subst. fém.,,,,"Objet circulaire, formé de diverses matières, et qui se porte sur la tête pour marquer certaines valeurs.",,,,"Chloé se lavant le visage se couronnait de branches de pin (...) Il lui ôtait la couronne de pin et se la mettait sur la tête (Chénier, Bucoliques,1794, p. 220).",,,,\ku.ʁɔn\,//upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Austrian_imperial_crown_dsc02787.jpg/220px-Austrian_imperial_crown_dsc02787.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/7/78/Fr-couronne.ogg/Fr-couronne.ogg.mp3
cavalier,"CAVALIER1, IÈRE,",,,,subst.,,,,Personne qui monte un cheval.,,,,"Seul, (...), un lourd irlandais gris que son cavalier ressanglait, demeurait en arrière (Pesquidoux, Chez nous,1921, p. 99).",,,,\ka.va.lje\,//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/French_horseman-Dumoulin-IMG_5493.JPG/180px-French_horseman-Dumoulin-IMG_5493.JPG,//upload.wikimedia.org/wikipedia/commons/transcoded/c/c1/Fr-cavalier.ogg/Fr-cavalier.ogg.mp3
chipie,"CHIPIE,",,,,subst. fém.,,,,"(Vieille) fille, femme méchante, dédaigneuse, désagréable à vivre.",,,,"Vieille chipie (Maupassant, Contes et nouvelles,t. 2, La Farce, 1883, p. 1281).",,,,\ʃi.pi\,,
marron,"MARRON1,","Marronner,",,,subst. masc.,"verbe trans.,",,,"Fruit comestible de certaines variétés de châtaigniers, plus volumineux que la châtaigne, de forme arrondie, enveloppé dans une capsule épineuse, et dont l'écorce lisse est de couleur brun-roux.",Coiffer (les cheveux) en grosses boucles.,,,"On servit (...) une dinde blanche pleine de marrons confits dans du vin (Maupass.,Contes et nouv.,t.2, Lég. Mt St-Michel, 1882, p.1255).","La coiffure la plus récente et de meilleur goût inventée par les femmes d'abord et qui vient d'être adoptée par les hommes, est formée par des boucles «marronnées» toutes égales (Stéphane,Art coiff. fém.,1932, p.148).",,,\ma.ʁɔ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/8/81/Fr-marron.ogg/Fr-marron.ogg.mp3
